"player","team","position","gold_per_minute","winrate","counter_pickrate","kills","deaths","assists","kda","kp","kill_share","share_team_deaths","first_blood_rate","gold_diff_10","xp_diff_10","cs_diff_10","cspm","share_team_deaths_15","damage_per_minute","share_damage","share_team_damage_15","average_gold_per_minute","gold_share","neutral_objectives_stolen","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"369","JD Gaming","Top",14,"71%","57%",46,47,89,2.9,"61.9%","21.1%","23.5%","21%",256,167,4.6,7.6,"21.1%",594,"25.1%","22.7%",265,"21.6%",0,0.38,0.17,0.22
"Abbedagge","100 Thieves","Middle",6,"17%","67%",11,17,23,2,"64.2%","20.8%","20.5%","17%",-193,-138,-5.5,8.5,"26.4%",454,"27.2%","29.4%",246,"24.2%",0,0.42,0.17,0.17
"Atlen","CTBC Flying Oyster","ADC",1,"0%","100%",3,5,2,1,"100.0%","60.0%","22.7%","100%",351,-595,4,7.9,"23.0%",163,"11.2%","8.5%",271,"26.6%",0,0.38,0.16,0.41
"Berserker","Cloud9","ADC",6,"17%","83%",8,12,16,2,"60.0%","20.0%","13.6%","33%",-476,54,-7.3,8.8,"31.1%",389,"22.2%","25.1%",246,"25.9%",0,0.45,0.1,0.16
"BeryL","DRX","Support",21,"67%","57%",16,47,168,3.9,"66.7%","5.8%","23.5%","19%",100,43,-0.5,1,"3.6%",292,"13.3%","11.7%",120,"10.1%",0,1.64,0.46,0.41
"Bie","GAM Esports","Support",6,"17%","50%",6,19,32,2,"70.4%","11.1%","17.8%","0%",-160,-129,7,1,"2.5%",156,"8.5%","8.3%",91,"9.5%",0,1.83,0.48,0.25
"Blaber","Cloud9","Jungle",6,"17%","67%",6,19,26,1.7,"80.0%","15.0%","21.6%","33%",-202,-183,-4,5.4,"14.5%",256,"14.7%","15.0%",173,"18.6%",1,0.27,0.23,0.3
"Breathe","Royal Never Give Up","Top",10,"50%","50%",30,27,32,2.3,"47.0%","22.7%","22.5%","40%",106,-12,-3.4,8.8,"28.0%",406,"20.9%","17.5%",284,"24.4%",0,0.38,0.15,0.19
"BrokenBlade","G2 Esports","Top",6,"17%","50%",16,17,15,1.8,"56.4%","29.1%","20.2%","50%",-164,-204,1.2,7.2,"22.2%",476,"27.8%","22.3%",215,"22.1%",0,0.4,0.13,0.1
"Canyon","DWG KIA","Jungle",12,"58%","58%",41,32,81,3.8,"70.1%","23.6%","24.1%","42%",306,36,4.8,5.6,"17.5%",426,"18.6%","20.0%",227,"19.3%",4,0.51,0.38,0.45
"Caps","G2 Esports","Middle",6,"17%","33%",14,16,20,2.1,"61.8%","25.5%","19.0%","0%",-387,-112,-3.2,8.1,"24.0%",424,"24.1%","24.5%",231,"23.6%",0,0.29,0.12,0.17
"Chovy","Gen.G","Middle",16,"63%","25%",63,22,58,5.5,"60.5%","31.5%","14.5%","25%",68,16,0.7,9.7,"30.2%",552,"26.5%","27.2%",307,"26.8%",0,0.35,0.13,0.33
"Closer","100 Thieves","Jungle",6,"17%","50%",12,12,23,2.9,"66.0%","22.6%","14.5%","17%",168,-38,1.3,5,"13.8%",175,"10.7%","11.2%",171,"17.2%",1,0.27,0.23,0.36
"Comp","Rogue","ADC",10,"40%","50%",43,18,26,3.8,"62.7%","39.1%","14.6%","20%",-77,31,-1.3,9.7,"35.3%",479,"23.0%","26.1%",319,"28.8%",0,0.43,0.13,0.39
"Deft","DRX","ADC",21,"67%","43%",66,37,97,4.4,"59.1%","23.9%","18.5%","14%",-44,-34,-0.5,9.5,"31.4%",565,"26.6%","28.7%",307,"26.2%",0,0.5,0.18,0.27
"deokdam","DWG KIA","ADC",12,"58%","42%",54,23,65,5.2,"68.4%","31.0%","17.3%","17%",366,309,3.3,8.9,"31.1%",588,"25.0%","26.9%",316,"26.7%",0,0.39,0.11,0.26
"Doran","Gen.G","Top",16,"63%","63%",32,39,76,2.8,"54.0%","16.0%","25.7%","19%",-84,30,1.8,7.7,"21.3%",439,"20.9%","18.2%",237,"20.8%",0,0.36,0.22,0.27
"Faker","T1","Middle",18,"72%","67%",61,56,96,2.8,"54.0%","21.0%","26.5%","11%",-141,-171,-3.5,7.9,"22.5%",612,"24.5%","25.0%",266,"21.0%",0,0.41,0.23,0.18
"FBI","100 Thieves","ADC",6,"17%","33%",13,19,25,2,"71.7%","24.5%","22.9%","33%",-625,-421,-26.2,6.4,"23.6%",404,"25.8%","27.3%",225,"22.9%",0,0.66,0.23,0.25
"Flakked","G2 Esports","ADC",6,"17%","50%",16,15,20,2.4,"65.5%","29.1%","17.9%","17%",-103,-82,-5.2,9,"33.7%",400,"22.4%","25.9%",259,"26.4%",0,0.43,0.12,0.21
"Flandre","EDward Gaming","Top",11,"55%","64%",23,20,46,3.5,"47.9%","16.0%","16.3%","9%",94,-3,-0.5,8.1,"24.1%",502,"21.8%","19.9%",250,"21.5%",0,0.24,0.12,0.21
"Fudge","Cloud9","Top",6,"17%","33%",5,13,15,1.5,"50.0%","12.5%","14.8%","0%",-193,-48,-6,7.8,"26.5%",348,"18.8%","16.7%",199,"21.5%",0,0.35,0.11,0.13
"GALA","Royal Never Give Up","ADC",10,"50%","50%",44,16,49,5.8,"70.5%","33.3%","13.3%","10%",138,345,14.6,10.1,"33.0%",619,"30.7%","34.2%",323,"27.4%",0,0.25,0.08,0.37
"Gemini","CTBC Flying Oyster","Jungle",6,"17%","67%",8,27,27,1.3,"72.9%","16.7%","22.9%","50%",-392,-310,-3.7,4.5,"11.3%",221,"12.3%","11.0%",149,"14.0%",0,0.46,0.4,0.34
"Gumayusi","T1","ADC",18,"72%","56%",90,26,107,7.6,"67.7%","30.9%","12.3%","22%",300,187,10.9,9.7,"34.1%",625,"25.3%","27.2%",341,"27.3%",3,0.5,0.19,0.33
"Hope","JD Gaming","ADC",14,"71%","50%",59,37,81,3.8,"64.2%","27.1%","18.5%","29%",-303,-203,-1.2,9.3,"31.5%",582,"24.7%","26.4%",314,"25.3%",0,0.51,0.2,0.37
"huhi","100 Thieves","Support",6,"17%","50%",4,18,32,2,"67.9%","7.5%","21.7%","17%",203,274,21,2.9,"6.7%",155,"9.1%","8.2%",129,"11.4%",0,1.32,0.37,0.29
"Humanoid","Fnatic","Middle",6,"33%","17%",19,16,17,2.3,"63.2%","33.3%","19.3%","0%",215,435,13.8,9.7,"31.9%",673,"33.5%","34.4%",288,"27.9%",0,0.33,0.03,0.11
"Hylissang","Fnatic","Support",6,"33%","83%",1,25,43,1.8,"77.2%","1.8%","30.1%","17%",-264,-245,-2.7,0.7,"1.8%",161,"8.0%","6.7%",88,"8.3%",0,1.23,0.31,0.29
"Impact","Evil Geniuses","Top",6,"17%","50%",8,19,22,1.6,"56.6%","15.1%","19.8%","0%",-376,-169,-13.7,7,"22.7%",437,"22.7%","21.0%",200,"20.2%",0,0.3,0.1,0.2
"Inspired","Evil Geniuses","Jungle",6,"17%","83%",13,14,24,2.6,"69.8%","24.5%","14.6%","17%",48,206,5.2,6.4,"19.5%",338,"17.8%","18.9%",210,"21.2%",0,0.44,0.17,0.5
"JackeyLove","Top Esports","ADC",6,"50%","50%",32,14,31,4.5,"76.8%","39.0%","19.7%","50%",694,153,5.5,9.4,"30.4%",665,"30.0%","31.7%",355,"29.4%",1,0.39,0.14,0.49
"Jankos","G2 Esports","Jungle",6,"17%","0%",8,17,37,2.6,"81.8%","14.5%","20.2%","67%",-247,-188,-7.8,5.8,"16.8%",301,"16.9%","18.9%",191,"19.1%",0,0.68,0.25,0.6
"Jensen","Cloud9","Middle",6,"17%","50%",16,17,13,1.7,"72.5%","40.0%","19.3%","17%",-125,-91,-4.5,8.1,"25.5%",617,"35.6%","35.9%",234,"24.9%",0,0.3,0.14,0.13
"Jiejie","EDward Gaming","Jungle",11,"55%","36%",19,29,86,3.6,"72.9%","13.2%","23.6%","55%",261,109,0.2,5.5,"16.3%",335,"14.8%","15.2%",197,"17.6%",0,0.61,0.28,0.64
"jojopyun","Evil Geniuses","Middle",6,"17%","83%",8,23,16,1,"45.3%","15.1%","24.0%","0%",53,20,2.5,7.7,"23.0%",451,"23.4%","25.7%",216,"21.9%",0,0.31,0.19,0.25
"Juhan","DRX","Jungle",1,"0%","100%",3,4,6,2.3,"90.0%","30.0%","20.0%","0%",569,466,10,4.6,"11.0%",357,"17.8%","19.2%",167,"17.2%",0,0.72,0.44,0.25
"Kanavi","JD Gaming","Jungle",14,"71%","50%",64,38,82,3.8,"67.0%","29.4%","19.0%","29%",155,242,6.1,6.7,"21.0%",431,"18.3%","20.3%",275,"22.6%",0,0.57,0.3,0.69
"Kaori","Evil Geniuses","ADC",6,"17%","33%",23,18,13,2,"67.9%","43.4%","18.8%","33%",117,-19,-0.3,8.9,"32.3%",537,"27.7%","27.4%",291,"28.5%",0,0.31,0.06,0.19
"Kati","GAM Esports","Middle",6,"17%","50%",9,19,29,2,"70.4%","16.7%","17.8%","0%",-577,-574,-11.2,7.6,"23.4%",429,"25.0%","25.4%",211,"22.3%",0,0.41,0.21,0.16
"Kellin","DWG KIA","Support",12,"58%","67%",8,25,123,5.2,"75.3%","4.6%","18.8%","17%",215,6,-0.7,0.5,"1.7%",177,"7.6%","5.6%",110,"9.4%",0,1.77,0.49,0.28
