"player","team","position","gold_per_minute","winrate","counter_pickrate","kills","deaths","assists","kda","kp","kill_share","share_team_deaths","first_blood_rate","gold_diff_10","xp_diff_10","cs_diff_10","cspm","share_team_deaths_15","damage_per_minute","share_damage","share_team_damage_15","average_gold_per_minute","gold_share","neutral_objectives_stolen","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"ADD","Isurus","Top",5,"20%","60%",13,25,23,1.4,"67.9%","24.5%","21.7%","0%",-361,-385,-11.2,6.5,"20.5%",519,"26.5%","25.3%",206,"21.5%",0,0.39,0.11,0.25
"Aladoric","Chiefs Esports Club","Support",5,"0%","80%",2,21,28,1.4,"68.2%","4.5%","21.6%","20%",9,-1,1.6,1.2,"2.3%",143,"7.5%","6.3%",77,"8.1%",0,1.56,0.47,0.26
"Armut","MAD Lions","Top",12,"50%","25%",21,35,76,2.8,"59.9%","13.0%","21.5%","33%",133,294,4.5,7.8,"23.2%",439,"22.2%","19.7%",253,"21.6%",0,0.49,0.18,0.2
"BeanJ","Saigon Buffalo","Jungle",9,"33%","44%",17,32,54,2.2,"62.8%","15.0%","25.0%","11%",-172,-29,0.1,5,"13.4%",305,"14.8%","13.4%",184,"17.1%",1,0.34,0.28,0.28
"BeryL","DRX","Support",5,"100%","0%",8,7,45,7.6,"57.6%","8.7%","18.9%","20%",251,-95,-0.8,1.1,"2.2%",230,"8.6%","7.9%",123,"9.7%",0,1.57,0.42,0.29
"Brance","LOUD","ADC",10,"40%","40%",36,28,59,3.4,"66.4%","25.2%","16.0%","30%",107,-27,0.3,8.3,"30.0%",552,"25.5%","26.0%",268,"24.3%",0,0.47,0.21,0.29
"Breathe","Royal Never Give Up","Top",9,"78%","22%",38,21,39,3.7,"47.5%","23.5%","24.1%","33%",159,150,7.6,8.6,"26.5%",546,"23.8%","21.7%",299,"22.8%",0,0.36,0.18,0.18
"Ceos","LOUD","Support",10,"40%","40%",6,40,95,2.5,"70.6%","4.2%","22.9%","30%",-5,239,1.8,1.1,"2.7%",162,"7.2%","6.2%",97,"8.9%",0,1.63,0.55,0.25
"Croc","LOUD","Jungle",10,"40%","40%",27,38,65,2.4,"64.3%","18.9%","21.7%","40%",-203,-68,-2.1,4.9,"13.8%",365,"16.1%","17.7%",196,"18.1%",2,0.36,0.39,0.27
"Deft","DRX","ADC",5,"100%","80%",23,6,40,10.5,"68.5%","25.0%","16.2%","0%",82,-137,6.2,9.9,"29.0%",805,"29.6%","32.1%",338,"25.7%",0,0.5,0.17,0.32
"Elyoya","MAD Lions","Jungle",12,"50%","58%",47,24,80,5.3,"78.4%","29.0%","14.7%","67%",248,216,7.8,6,"17.9%",300,"14.9%","16.2%",242,"20.4%",1,0.32,0.31,0.57
"Evi","DetonatioN FocusMe","Top",14,"50%","79%",31,52,79,2.1,"56.7%","16.0%","23.2%","21%",-112,-255,-3.4,7.4,"23.2%",558,"24.6%","21.5%",236,"21.0%",0,0.39,0.18,0.17
"Farfetch","İstanbul Wildcats","Support",5,"0%","60%",1,32,39,1.3,"69.0%","1.7%","29.4%","20%",-310,11,-6,0.8,"2.4%",208,"9.5%","9.1%",74,"7.9%",0,1.37,0.38,0.2
"Ferret","İstanbul Wildcats","Jungle",5,"0%","40%",7,24,35,1.8,"72.4%","12.1%","22.0%","0%",-407,-360,-6.6,4.1,"12.0%",330,"14.9%","15.1%",146,"15.4%",1,0.27,0.2,0.43
"Froggy","Saigon Buffalo","Middle",9,"33%","56%",14,24,54,2.8,"60.2%","12.4%","18.8%","11%",-347,-261,-7.4,7.8,"22.5%",487,"23.4%","24.8%",229,"20.8%",0,0.33,0.16,0.21
"GALA","Royal Never Give Up","ADC",9,"78%","78%",43,11,63,9.6,"65.4%","26.5%","12.6%","44%",414,156,4.1,10.3,"33.0%",633,"27.7%","30.9%",354,"27.0%",0,0.26,0.08,0.39
"Gavotto","Isurus","ADC",5,"20%","20%",11,18,20,1.7,"58.5%","20.8%","15.7%","0%",-446,-503,-7.6,8,"27.7%",384,"19.6%","20.1%",247,"24.5%",0,0.37,0.14,0.31
"Grell","Isurus","Jungle",5,"20%","60%",16,26,29,1.7,"84.9%","30.2%","22.6%","20%",-174,-195,-5,6.5,"23.6%",436,"23.0%","23.1%",232,"23.3%",0,0.43,0.23,0.38
"Harp","DetonatioN FocusMe","Support",14,"50%","50%",10,47,126,2.9,"70.1%","5.2%","21.0%","36%",27,-101,-2.4,0.9,"2.1%",228,"9.9%","9.5%",101,"8.8%",0,1.58,0.51,0.3
"Hasmed","Saigon Buffalo","Top",9,"33%","89%",29,27,30,2.2,"52.2%","25.7%","21.1%","0%",-37,-264,2.3,8,"26.4%",486,"23.8%","21.6%",260,"23.1%",0,0.42,0.21,0.27
"HolyPhoenix","İstanbul Wildcats","ADC",5,"0%","40%",22,15,28,3.3,"86.2%","37.9%","13.8%","20%",35,102,-3,9.3,"35.8%",498,"22.2%","23.6%",293,"30.7%",0,0.35,0.11,0.24
"Humanoid","Fnatic","Middle",5,"80%","80%",26,9,19,5,"59.2%","34.2%","19.1%","20%",588,700,21.4,8.8,"23.3%",813,"33.5%","33.9%",322,"24.9%",0,0.42,0.09,0.2
"Husha","Beyond Gaming","Jungle",5,"40%","60%",15,13,42,4.4,"86.4%","22.7%","18.1%","20%",155,-137,-0.8,4.9,"13.6%",301,"16.4%","17.0%",194,"17.7%",1,0.3,0.3,0.26
"Hylissang","Fnatic","Support",3,"67%","33%",4,13,23,2.1,"55.1%","8.2%","33.3%","0%",-63,-133,0.3,1.2,"2.1%",249,"9.4%","8.7%",117,"9.6%",0,1.34,0.29,0.32
"Impact","Evil Geniuses","Top",10,"80%","40%",42,12,56,8.2,"56.6%","24.3%","14.5%","30%",317,234,1,8.2,"25.9%",570,"26.2%","24.9%",305,"24.6%",0,0.35,0.14,0.17
"Inspired","Evil Geniuses","Jungle",10,"80%","60%",29,9,97,14,"72.8%","16.8%","10.8%","50%",107,23,-4,5.1,"13.5%",315,"14.6%","15.0%",210,"17.0%",3,0.38,0.25,0.37
"Jelly","Isurus","Support",5,"20%","40%",4,30,27,1,"58.5%","7.5%","26.1%","0%",-428,-203,5.2,1.1,"3.6%",163,"9.0%","9.3%",86,"9.0%",0,1.38,0.45,0.25
"jojopyun","Evil Geniuses","Middle",10,"80%","40%",37,26,71,4.2,"62.4%","21.4%","31.3%","20%",104,127,3.3,7.8,"22.8%",569,"26.0%","26.7%",262,"21.1%",0,0.37,0.17,0.31
"Juhan","DRX","Jungle",2,"100%","50%",6,3,19,8.3,"67.6%","16.2%","23.1%","50%",112,281,-2,5.7,"13.9%",469,"15.7%","19.6%",232,"16.3%",0,0.37,0.29,0.25
"Kaiser","MAD Lions","Support",12,"50%","83%",4,42,94,2.3,"60.5%","2.5%","25.8%","50%",-30,-301,1.8,1,"2.5%",138,"7.0%","5.9%",95,"8.1%",0,1.53,0.45,0.36
"Kaori","Evil Geniuses","ADC",10,"80%","60%",57,19,51,5.7,"62.4%","32.9%","22.9%","10%",210,-127,2.3,9.9,"35.3%",525,"24.5%","25.6%",348,"27.8%",0,0.31,0.06,0.29
"Kingen","DRX","Top",5,"100%","40%",14,12,30,3.7,"47.8%","15.2%","32.4%","20%",26,-24,-3.6,8,"21.9%",571,"21.0%","18.5%",267,"20.5%",0,0.32,0.18,0.23
"Kino","Beyond Gaming","Support",5,"40%","80%",1,25,45,1.8,"69.7%","1.5%","34.7%","20%",-170,-352,-0.4,1.1,"2.8%",97,"5.3%","4.7%",91,"8.3%",0,1.57,0.49,0.4
"Liang","Beyond Gaming","Top",1,"100%","0%",3,1,5,8,"61.5%","23.1%","25.0%","0%",-376,235,-14,8.4,"25.3%",348,"21.4%","19.6%",271,"20.4%",0,0.35,0.27,0.19
"Likai","Beyond Gaming","Top",4,"25%","25%",4,9,19,2.6,"43.4%","7.5%","13.2%","0%",-27,189,0,8.2,"27.8%",370,"20.6%","19.3%",234,"22.7%",0,0.44,0.17,0.23
