"team","games_played","wins","loses","average_game_duration","kills","deaths","kd","combined_kills_per_minute","gold_percent_rating","gold_spent_difference","early_game_rating","mid_late_rating","gold_diff_15","first_blood_rate","first_tower_rate","first_to_three_towers_rate","turrent_plates_destroyed","rift_herald_rate","first_dragon_rate","dragon_control_rate","elder_dragon_rate","first_baron_rate","baron_control_rate","lane_control","jungle_control","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"100 Thieves",6,1,5,30.7,53,83,0.64,0.74,-1.05,"-12.1%",43.6,-27,-732,"33%","50%","33%",4.3,"67%","33%","33%",,"33%","43%","47.8%","45.6%",3.04,1.18,1.34
"Cloud9",6,1,5,27.2,40,88,0.45,0.78,-1.92,"-15.5%",33,-16.4,-1957,"50%","33%","17%",2.5,"33%","50%","33%",,"17%","29%","48.1%","45.0%",2.58,0.79,0.99
"CTBC Flying Oyster",6,1,5,31.7,48,118,0.41,0.87,-1.31,"-9.9%",32.4,-15.7,-1300,"67%","50%","17%",4.3,"17%","50%","24%",,"33%","22%","49.9%","44.4%",3.29,1.25,1.32
"DRX",21,14,7,34.5,276,200,1.38,0.66,0.68,"4.4%",57,9.6,678,"57%","62%","71%",4.5,"62%","48%","53%","67%","67%","58%","50.4%","51.3%",3.63,1.54,1.82
"DWG KIA",12,7,5,31.6,174,133,1.31,0.81,1.53,"8.0%",74.4,-16.1,2262,"42%","100%","83%",7.5,"78%","58%","70%",,"75%","71%","48.9%","53.8%",3.59,1.47,1.44
"EDward Gaming",11,6,5,33.5,144,123,1.17,0.73,0.23,"1.0%",54.8,-0.3,673,"73%","55%","36%",4.6,"64%","45%","50%","100%","55%","56%","49.9%","50.6%",3.23,1.23,1.73
"Evil Geniuses",6,1,5,28.7,53,96,0.55,0.86,-1.02,"-9.3%",32.9,-16.2,-1522,"33%","33%","17%",5.3,"45%","50%","33%",,"17%","33%","48.9%","46.7%",2.66,0.83,1.34
"Fnatic",6,2,4,30.8,57,83,0.69,0.76,-1.36,"-6.9%",33.1,0.2,-1452,"17%","17%","33%",3.8,"33%","50%","43%",,"33%","20%","51.0%","48.5%",2.79,0.87,1.12
"G2 Esports",6,1,5,30.1,55,84,0.65,0.77,-2.19,"-10.3%",32.4,-15.8,-1714,"67%","17%","17%",4,"17%","17%","30%",,"33%","22%","49.8%","41.4%",2.99,0.88,1.35
"GAM Esports",6,1,5,31.6,54,107,0.5,0.85,-2.35,"-13.4%",25.3,-8.6,-2729,"33%","17%","17%",2.8,"25%","67%","52%","0%","17%","13%","48.6%","47.6%",3.89,1.22,1.46
"Gen.G",16,10,6,31.4,200,152,1.32,0.7,0.37,"4.8%",52,10.5,116,"63%","31%","56%",4.8,"44%","56%","49%","0%","50%","53%","51.5%","52.5%",3.18,1.37,1.82
"JD Gaming",14,10,4,31.4,218,200,1.09,0.95,0.33,"1.5%",49.9,21.5,485,"43%","64%","57%",5.6,"71%","43%","47%","100%","36%","44%","50.8%","54.7%",3.35,1.25,1.83
"Rogue",10,4,6,31,110,123,0.89,0.75,-0.69,"-6.6%",34.8,5.2,-1452,"50%","40%","30%",3.4,"25%","30%","52%",,"30%","46%","49.2%","45.4%",2.89,0.88,1.49
"Royal Never Give Up",10,5,5,31.6,132,120,1.1,0.8,0.19,"0.7%",51.8,-1.8,-7,"50%","40%","60%",4,"60%","60%","63%","0%","40%","42%","49.9%","50.9%",3.06,1.17,1.66
"T1",18,13,5,31.9,291,211,1.38,0.87,0.94,"10.2%",63.3,8.9,1030,"39%","61%","72%",5.4,"47%","61%","56%","33%","78%","84%","50.3%","51.6%",3.47,1.5,1.31
"Top Esports",6,3,3,31.5,82,71,1.15,0.81,0.76,"6.9%",62.2,-12.2,1176,"67%","50%","50%",6.5,"42%","67%","57%","100%","67%","63%","51.0%","50.9%",3.32,1.4,1.86
